Date,Total Profit,Value
2000-11-03,"(-131837.9558, [nan, nan, nan, 'BUY', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan], ['CN'])",-131837.9558
2000-11-06,"(-131725.4558, [nan, nan, nan, 'HOLD', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan], ['CN'])",-131725.4558
2000-11-07,"(-131537.9558, [nan, nan, nan, 'HOLD', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan], ['CN'])",-131537.9558
2000-11-08,"(-131350.4558, [nan, nan, nan, 'HOLD', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan], ['CN'])",-131350.4558
2000-11-09,"(-131650.4558, [nan, nan, nan, 'HOLD', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan], ['CN'])",-131650.4558
2000-11-10,"(-131883.0495, [nan, 'SELL', nan, 'HOLD', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan], ['CCN', 'CN'])",-131883.0495
2000-11-13,"(-131639.2995, [nan, 'HOLD', nan, 'HOLD', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan], ['CCN', 'CN'])",-131639.2995
2000-11-14,"(-131808.0495, [nan, 'HOLD', nan, 'HOLD', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan], ['CCN', 'CN'])",-131808.0495
2000-11-15,"(-132350.6745, [nan, 'HOLD', nan, 'SELL', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan], ['CCN', 'CN'])",-132350.6745
2000-11-16,"(-132318.1845, ['BUY', 'HOLD', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan], ['BON', 'CCN'])",-132318.1845
2000-11-17,"(-132382.4055, ['BUY', 'HOLD', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan], ['BON', 'CCN'])",-132382.4055
2000-11-20,"(-132213.4034, ['BUY', 'HOLD', nan, 'BUY', nan, 'SELL', nan, nan, nan, nan, nan, nan, nan, nan, nan], ['BON', 'CCN', 'CN', 'KCN'])",-132213.4034
2000-11-21,"(-133064.4644, ['SELL', 'HOLD', nan, 'BUY', nan, 'HOLD', nan, nan, nan, nan, nan, nan, nan, 'BUY', nan], ['BON', 'CCN', 'CN', 'KCN', 'SX'])",-133064.4644
2000-11-22,"(-141417.8672, ['BUY', 'HOLD', nan, 'BUY', nan, 'HOLD', nan, nan, nan, nan, nan, nan, nan, 'BUY', nan], ['BON', 'CCN', 'CN', 'KCN', 'SX'])",-141417.8672
2000-11-24,"(-64318.6685, ['SELL', 'SELL', nan, nan, nan, nan, nan, nan, 'BUY', nan], ['BON', 'CN', 'SX'])",-64318.6685
2000-11-27,"(-107604.62839999999, [nan, 'HOLD', nan, 'BUY', nan, 'HOLD', nan, nan, nan, nan, nan, nan, nan, 'HOLD', nan], ['CCN', 'CN', 'KCN', 'SX'])",-107604.62839999999
2000-11-28,"(-67048.0534, [nan, 'HOLD', nan, 'BUY', nan, 'HOLD', nan, nan, nan, nan, nan, nan, nan, 'HOLD', nan], ['CCN', 'CN', 'KCN', 'SX'])",-67048.0534
2000-11-29,"(-97491.04089999999, [nan, 'HOLD', nan, 'SELL', nan, 'HOLD', nan, nan, nan, nan, nan, nan, nan, 'HOLD', nan], ['CCN', 'CN', 'KCN', 'SX'])",-97491.04089999999
2000-11-30,"(-100247.29089999999, [nan, 'HOLD', nan, nan, nan, 'HOLD', nan, nan, nan, nan, nan, nan, nan, 'HOLD', nan], ['CCN', 'KCN', 'SX'])",-100247.29089999999
2000-12-01,"(-85230.5809, [nan, nan, 'HOLD', nan, nan, nan, nan, nan, 'BUY', nan, 'BUY', nan, 'HOLD', nan, nan, nan, nan, 'SELL', nan, nan, nan, nan, nan, nan, 'BUY', nan, nan, 'HOLD', nan, nan], ['CCN', 'CTZ', 'GCZ', 'KCN', 'LCZ', 'SMZ', 'SX'])",-85230.5809
2000-12-04,"(-130506.4559, [nan, nan, 'HOLD', nan, nan, nan, nan, nan, 'BUY', nan, 'BUY', nan, 'HOLD', nan, nan, nan, nan, 'HOLD', nan, nan, nan, nan, nan, nan, 'BUY', nan, nan, 'HOLD', nan, nan], ['CCN', 'CTZ', 'GCZ', 'KCN', 'LCZ', 'SMZ', 'SX'])",-130506.4559
2000-12-05,"(-153824.5409, [nan, nan, 'BUY', nan, nan, nan, nan, nan, 'BUY', nan, 'BUY', nan, 'HOLD', nan, nan, nan, nan, 'HOLD', nan, nan, nan, nan, nan, nan, 'BUY', nan, nan, 'HOLD', nan, nan], ['CCN', 'CTZ', 'GCZ', 'KCN', 'LCZ', 'SMZ', 'SX'])",-153824.5409
2000-12-06,"(-171603.3659, [nan, nan, nan, nan, nan, nan, nan, nan, 'HOLD', nan, 'HOLD', nan, 'HOLD', nan, nan, nan, nan, 'HOLD', nan, nan, nan, nan, nan, nan, 'SELL', nan, nan, 'SELL', nan, nan], ['CTZ', 'GCZ', 'KCN', 'LCZ', 'SMZ', 'SX'])",-171603.3659
2000-12-07,"(-173795.7628, [nan, nan, 'SELL', nan, nan, nan, nan, nan, 'HOLD', nan, 'HOLD', nan, 'HOLD', nan, nan, nan, nan, 'HOLD', nan, nan, nan, nan, nan, nan, 'BUY', nan, nan, 'BUY', nan, nan], ['CCN', 'CTZ', 'GCZ', 'KCN', 'LCZ', 'SMZ', 'SX'])",-173795.7628
2000-12-08,"(-199995.6197, [nan, nan, 'BUY', nan, nan, nan, nan, nan, 'HOLD', nan, 'HOLD', nan, 'HOLD', nan, nan, nan, nan, 'HOLD', nan, nan, nan, nan, nan, nan, 'BUY', nan, nan, 'SELL', nan, nan], ['CCN', 'CTZ', 'GCZ', 'KCN', 'LCZ', 'SMZ', 'SX'])",-199995.6197
2000-12-11,"(-203936.9447, [nan, nan, nan, nan, nan, nan, nan, nan, 'HOLD', nan, 'HOLD', nan, 'HOLD', nan, nan, nan, nan, 'HOLD', nan, nan, nan, nan, nan, nan, 'BUY', 'BUY', nan, 'BUY', nan, nan], ['CTZ', 'GCZ', 'KCN', 'LCZ', 'SMZ', 'SN', 'SX'])",-203936.9447
2000-12-12,"(-208866.9003, [nan, nan, 'SELL', nan, nan, nan, nan, nan, 'SELL', nan, 'SELL', nan, 'HOLD', nan, nan, nan, nan, 'HOLD', nan, nan, nan, nan, nan, nan, 'SELL', 'BUY', nan, 'BUY', nan, nan], ['CCN', 'CTZ', 'GCZ', 'KCN', 'LCZ', 'SMZ', 'SN', 'SX'])",-208866.9003
2000-12-13,"(-267825.6503, [nan, nan, 'HOLD', nan, nan, nan, nan, nan, nan, nan, nan, nan, 'HOLD', nan, nan, nan, nan, 'HOLD', nan, nan, nan, nan, nan, nan, nan, 'BUY', nan, 'SELL', nan, nan], ['CCN', 'KCN', 'LCZ', 'SN', 'SX'])",-267825.6503
2000-12-14,"(-300443.5353, [nan, nan, 'HOLD', nan, nan, nan, nan, nan, nan, nan, nan, nan, 'HOLD', nan, nan, nan, nan, 'HOLD', nan, nan, nan, nan, nan, 'BUY', 'BUY', 'HOLD', nan, nan, nan, nan], ['CCN', 'KCN', 'LCZ', 'SMN', 'SMZ', 'SN'])",-300443.5353
2000-12-15,"(-252374.3703, [nan, nan, 'HOLD', nan, 'SELL', nan, nan, nan, nan, nan, nan, nan, 'HOLD', nan, nan, nan, nan, 'HOLD', nan, nan, nan, nan, nan, 'BUY', 'BUY', 'HOLD', nan, nan, nan, nan], ['CCN', 'CLN', 'KCN', 'LCZ', 'SMN', 'SMZ', 'SN'])",-252374.3703
2000-12-18,"(-204644.61599999998, [nan, nan, 'BUY', nan, 'HOLD', nan, nan, nan, nan, nan, nan, nan, 'HOLD', nan, nan, nan, nan, 'HOLD', nan, nan, nan, nan, nan, 'BUY', 'BUY', 'HOLD', nan, 'BUY', nan, nan], ['CCN', 'CLN', 'KCN', 'LCZ', 'SMN', 'SMZ', 'SN', 'SX'])",-204644.61599999998
2000-12-19,"(-180308.7597, [nan, nan, 'SELL', nan, 'HOLD', nan, nan, nan, nan, nan, nan, nan, 'HOLD', nan, nan, nan, nan, 'BUY', nan, nan, nan, nan, nan, 'HOLD', 'HOLD', 'HOLD', nan, 'BUY', nan, nan], ['CCN', 'CLN', 'KCN', 'LCZ', 'SMN', 'SMZ', 'SN', 'SX'])",-180308.7597
2000-12-20,"(-260260.5597, [nan, nan, 'HOLD', nan, 'HOLD', nan, nan, nan, nan, nan, nan, nan, 'HOLD', nan, nan, nan, nan, 'SELL', nan, nan, nan, nan, nan, 'HOLD', 'HOLD', 'HOLD', nan, 'BUY', nan, nan], ['CCN', 'CLN', 'KCN', 'LCZ', 'SMN', 'SMZ', 'SN', 'SX'])",-260260.5597
2000-12-21,"(-268164.191, [nan, nan, 'BUY', nan, 'HOLD', nan, nan, nan, nan, nan, nan, 'BUY', nan, 'HOLD', nan, nan, nan, nan, 'BUY', 'SELL', nan, nan, nan, nan, 'HOLD', 'HOLD', 'HOLD', nan, 'SELL', nan, nan], ['CCN', 'CLN', 'GCZ', 'KCN', 'LCZ', 'LHN', 'SMN', 'SMZ', 'SN', 'SX'])",-268164.191
2000-12-22,"(-283454.181, [nan, nan, nan, nan, 'HOLD', nan, nan, nan, nan, nan, nan, 'BUY', nan, 'HOLD', nan, nan, nan, nan, 'SELL', 'HOLD', nan, nan, nan, nan, 'HOLD', 'HOLD', 'HOLD', nan, 'BUY', nan, nan], ['CLN', 'GCZ', 'KCN', 'LCZ', 'LHN', 'SMN', 'SMZ', 'SN', 'SX'])",-283454.181
